Tag	dynamicColors	mergedColors
NT5M	turquoise	brown
FAM168A	grey	grey
WBP1	yellow	yellow
USP24	blue	blue
ISL2	brown	brown
KAT5	grey	grey
AGPS	grey	grey
CYB5A	grey	grey
CTCF	magenta	green
PPM1D	grey	grey
VPS11	green	green
RNF170	grey	grey
CHST4	grey	grey
ULBP3	brown	brown
TAS2R8	grey	grey
WDR11	turquoise	brown
KRT80	grey	grey
ID4	grey	grey
KRTAP8-1	grey	grey
KIDINS220	blue	blue
FAM174A	grey	grey
HTR1A	turquoise	brown
MRGBP	grey	grey
PLAC1	grey	grey
RHPN2	grey	grey
ARHGAP4	turquoise	brown
UQCR10	yellow	yellow
EBAG9	greenyellow	pink
SSR3	tan	pink
BZW2	grey	grey
DYNLT3	grey	grey
ZNF587	grey	grey
FOXP1	grey	grey
AIDA	grey	grey
TNF	turquoise	brown
TPD52L3	grey	grey
ZNF347	blue	blue
MARVELD1	black	black
FOSL2	grey	grey
SLC25A20	grey	grey
RNASE6	grey	grey
POU5F1	grey	grey
TIMM17A	grey	grey
CCDC184	grey	grey
LY6G5C	turquoise	brown
TSC22D1	grey	grey
NXPH2	grey	grey
IDE	blue	blue
ZNF77	grey	grey
RBMXL3	grey	grey
LTBP4	turquoise	brown
PLSCR3	turquoise	brown
FLVCR2	green	green
PPP1R16B	brown	brown
LHX2	turquoise	brown
DNMT3A	grey	grey
FKRP	grey	grey
PKIA	grey	grey
KLF6	grey	grey
PCDHB7	grey	grey
IWS1	blue	blue
TNS4	magenta	green
TRMT10A	grey	grey
GDA	grey	grey
BTLA	grey	grey
NDUFA2	yellow	yellow
PRB1	turquoise	brown
WFDC9	grey	grey
SIGLEC12	blue	blue
POLD4	turquoise	brown
GAS6	grey	grey
HIPK1	blue	blue
GPR18	grey	grey
GUF1	blue	blue
KIFC1	grey	grey
LY6H	turquoise	brown
MCM2	grey	grey
PYY	turquoise	brown
BRI3BP	turquoise	brown
TRIT1	grey	grey
PLEKHB2	grey	grey
HKDC1	brown	brown
TOX2	turquoise	brown
ZKSCAN1	blue	blue
HIBADH	pink	pink
RBM12B	blue	blue
CACNA1A	turquoise	brown
UQCRQ	brown	brown
APOB	grey	grey
SRGAP2B	grey	grey
NLGN2	turquoise	brown
SOCS5	red	pink
COBLL1	red	pink
PLK1	grey	grey
SHISAL1	grey	grey
OR1E2	grey	grey
IFT46	grey	grey
CRYBB3	blue	blue
TLCD3B	grey	grey
HSD17B2	grey	grey
DNAJA2	pink	pink
DIPK1B	grey	grey
NDUFAF4	grey	grey
IGF2BP1	grey	grey
ASPM	blue	blue
ECEL1	turquoise	brown
ADAMTS2	turquoise	brown
RFPL4B	grey	grey
SRR	grey	grey
PLGRKT	grey	grey
SMIM34A	grey	grey
WDR41	grey	grey
VPS45	turquoise	brown
HLA-DOB	grey	grey
YIF1B	grey	grey
VNN2	grey	grey
MPZL1	black	black
RIPK1	grey	grey
RDH16	grey	grey
SRC	grey	grey
ZNF488	turquoise	brown
MADCAM1	turquoise	brown
PDE6G	turquoise	brown
DNM1L	blue	blue
NIF3L1	grey	grey
NOL7	tan	pink
FOXD4L1	grey	grey
SENP8	grey	grey
NECTIN3	blue	blue
C18orf54	blue	blue
CST11	grey	grey
ACOT13	grey	grey
C1QL3	grey	grey
LRRC30	grey	grey
MTF2	pink	pink
ACOXL	grey	grey
CSNK1D	grey	grey
GORAB	grey	grey
DCLK2	grey	grey
BORCS8-MEF2B	blue	blue
SMYD3	grey	grey
PPARA	grey	grey
ATP6AP1	grey	grey
DOT1L	grey	grey
CALHM5	grey	grey
FCRLA	grey	grey
MGAT1	grey	grey
ADAM22	grey	grey
GPSM3	brown	brown
PNPLA7	turquoise	brown
LTO1	grey	grey
ERICH2	grey	grey
CD63	yellow	yellow
USP43	grey	grey
LSR	grey	grey
SIGLEC6	grey	grey
LRRC18	brown	brown
IRF8	turquoise	brown
RNF165	turquoise	brown
SPANXN2	grey	grey
FOXD4L4	turquoise	brown
PYGB	grey	grey
MXRA7	black	black
CFAP99	turquoise	brown
TMEM33	blue	blue
SOX11	brown	brown
TGFA	turquoise	brown
DNAJB9	grey	grey
NOD2	turquoise	brown
LRSAM1	grey	grey
GLB1L	grey	grey
PANK2	blue	blue
DISP3	turquoise	brown
TFAP2A	magenta	green
ZNF865	grey	grey
FRMD6	pink	pink
ASAP3	black	black
ZNF548	grey	grey
TMEM132C	turquoise	brown
CTDSP2	magenta	green
AMIGO1	grey	grey
DOP1B	grey	grey
HCAR3	black	black
TCTN3	grey	grey
HHLA3	grey	grey
SUMO4	red	pink
PRUNE1	tan	pink
MSX1	brown	brown
MCHR1	grey	grey
FKBP8	grey	grey
NT5C3B	grey	grey
PRAMEF4	grey	grey
SMTNL2	turquoise	brown
PCDH8	grey	grey
HLA-C	grey	grey
PTGFRN	grey	grey
VPS52	green	green
PGRMC2	grey	grey
TAAR9	grey	grey
SMNDC1	tan	pink
POU5F2	grey	grey
MOSPD3	turquoise	brown
PRR23C	grey	grey
MASP1	pink	pink
G2E3	blue	blue
PSORS1C2	brown	brown
GPR135	grey	grey
ATP2B4	grey	grey
B3GAT1	turquoise	brown
EFCC1	turquoise	brown
KIF18B	turquoise	brown
C1S	grey	grey
FYTTD1	pink	pink
PPARG	grey	grey
EDN2	brown	brown
ADAM19	black	black
HOXC4	grey	grey
PTCD3	brown	brown
CFB	grey	grey
MOB2	grey	grey
ADGRF5	grey	grey
SMIM32	turquoise	brown
DCP1B	grey	grey
MORC2	grey	grey
ZNF527	grey	grey
MCOLN1	grey	grey
CCAR2	grey	grey
MTX2	pink	pink
SORBS2	grey	grey
CDYL	tan	pink
PARP8	blue	blue
KRT9	brown	brown
GUSB	grey	grey
LAMC2	grey	grey
OR12D2	grey	grey
C9orf64	grey	grey
CCDC68	grey	grey
RBM28	grey	grey
GALNT14	grey	grey
ZNF688	brown	brown
KIAA1755	brown	brown
ENAH	grey	grey
PRDM11	turquoise	brown
C1orf74	blue	blue
YIPF3	green	green
RBM39	blue	blue
TRIM39	grey	grey
TEAD1	black	black
ZNF630	grey	grey
PHETA1	brown	brown
DCAF4L2	grey	grey
TJP3	brown	brown
ROCK2	blue	blue
OR8D1	grey	grey
MAGEA10	grey	grey
BOD1L1	blue	blue
EDNRA	grey	grey
ZFP82	grey	grey
KRT76	grey	grey
SPRR2D	grey	grey
UIMC1	yellow	yellow
BUD13	grey	grey
PPM1J	brown	brown
PLXNC1	grey	grey
TMEM50A	yellow	yellow
PSG4	grey	grey
LIME1	turquoise	brown
SETD4	grey	grey
SLC16A8	turquoise	brown
ZFP1	grey	grey
TRIM15	brown	brown
MBOAT1	grey	grey
PID1	grey	grey
TPCN2	turquoise	brown
FXR1	blue	blue
KRTAP2-4	grey	grey
BRWD1	blue	blue
TECTA	grey	grey
COL26A1	brown	brown
TMEM250	turquoise	brown
DHRS13	blue	blue
CRABP1	blue	blue
HAS3	turquoise	brown
ERO1B	grey	grey
CCDC88A	blue	blue
GJB7	blue	blue
SLC35F3	grey	grey
ARL14EP	grey	grey
HLA-DQB1	grey	grey
MED12	magenta	green
SHANK1	turquoise	brown
LIMD1	grey	grey
AFF1	brown	brown
HLA-DQA2	grey	grey
SPP2	grey	grey
MYL5	turquoise	brown
N4BP2	blue	blue
FAM43A	green	green
KCNE2	grey	grey
ZNF395	grey	grey
KRTAP10-8	grey	grey
TCFL5	grey	grey
ST3GAL3	grey	grey
BFAR	green	green
NANOGNB	grey	grey
PHKG1	brown	brown
DHCR7	grey	grey
MUC5AC	turquoise	brown
NDC1	grey	grey
GPR45	grey	grey
INTS2	grey	grey
ZMYND8	grey	grey
GOLGA6L2	brown	brown
LMO2	grey	grey
RBPJ	blue	blue
AK2	purple	pink
MAP2K5	grey	grey
SUMO2	purple	pink
ITPRID2	blue	blue
RNF185	grey	grey
DEFB124	grey	grey
SLC39A10	blue	blue
CRABP2	grey	grey
MYO9B	grey	grey
LRRC14B	grey	grey
CAT	grey	grey
COL18A1	turquoise	brown
RCAN2	turquoise	brown
MTFR2	grey	grey
ZNF384	green	green
SMARCA1	blue	blue
ZNF331	grey	grey
GEMIN8	grey	grey
CACNG6	turquoise	brown
ERCC6L2	turquoise	brown
HDHD2	grey	grey
CLASRP	red	pink
ZNF705D	grey	grey
CD74	grey	grey
SLC17A8	grey	grey
CBLL1	greenyellow	pink
KBTBD4	grey	grey
CDKN2B	grey	grey
ASPN	grey	grey
SPRR2G	grey	grey
FLG2	grey	grey
XRN1	blue	blue
HELZ	blue	blue
FGF1	brown	brown
IDH2	grey	grey
TUBB1	red	pink
APOO	grey	grey
ZNF583	grey	grey
CAPN7	pink	pink
STS	purple	pink
GRIN3B	brown	brown
SARNP	yellow	yellow
YJU2	grey	grey
ELOVL7	grey	grey
RDH13	grey	grey
RHOBTB3	red	pink
KIAA1109	blue	blue
IFI27L2	grey	grey
P2RY14	grey	grey
DDX3X	grey	grey
PRKCSH	magenta	green
HDLBP	grey	grey
