"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ALAS2",0.451972717741935,6.71767647619048,2.05581790751938,0.0438779015243622,0.999989830735706,-3.98812490388947
"ERVV-1",0.399372328629028,6.82413826984127,2.54780009377726,0.0132489144609479,0.999989830735706,-3.00856990392077
"NBEAP1",0.387345633064514,4.95455873015873,3.09018319697854,0.00295809641410155,0.999989830735706,-1.73850439216963
"PLCE1-AS1",0.382789204133066,6.06486407936508,2.70940485797907,0.00863615280588515,0.999989830735706,-2.64983579140999
"FABP4",0.329313752016126,4.13405741269841,2.80336846951467,0.0066834560167492,0.999989830735706,-2.43336530633392
"SNORD18A",0.319103305443546,7.23171744444444,2.5044935436992,0.0148169664291381,0.999989830735706,-3.10171013018409
"GYPB",0.317497115423386,4.44370868253968,2.48714754187169,0.0154906422973771,0.999989830735706,-3.13865490815071
"DEPDC1B",0.314741256048382,8.34385038095238,3.15473030882155,0.00244627235586397,0.999989830735706,-1.57534961921442
"USP27X",0.264372269153226,7.76640371428571,2.2494552353677,0.0279257712653311,0.999989830735706,-3.62355789008816
"RPS6KA6",0.243369928427419,3.28432776190476,3.90842847787998,0.000226582170177507,0.999989830735706,0.493307980316406
"H4C4",0.240339442540322,7.63462001587302,2.23845485934689,0.0286716265268321,0.999989830735706,-3.64501511977659
"H2BC8",0.230258777217742,5.56973296825397,2.81396906560857,0.00649075592695104,0.999989830735706,-2.40858863576776
"MMD",0.226494180443547,7.09558788888889,2.12067794157246,0.0378236831981703,0.999989830735706,-3.86914078106233
"SNORD41",0.226043763104835,9.86635646031746,2.15133441087584,0.0352245660221848,0.999989830735706,-3.81179729359992
"SCARNA10",0.224549944556449,9.57959088888889,2.08264459191387,0.0412790273703744,0.999989830735706,-3.93929888612238
"GDPD1",0.223965195564515,6.36500184126984,2.13113050928748,0.0369193176149678,0.999989830735706,-3.8496683289188
"METTL21C",0.223295732862903,4.0124286031746,2.19428582147411,0.0318460340755166,0.999989830735706,-3.73027455464327
"GNG11",0.220833586693547,6.68784866666667,2.7819647344869,0.00708867399548458,0.999989830735706,-2.48317393102329
"SNORD114-11",0.220610210685486,6.13271923809524,2.1323522794624,0.0368148491314553,0.999989830735706,-3.84738688977303
"BCAR4",0.217651144657255,8.80425883333333,2.15666167302896,0.0347891827164558,0.999989830735706,-3.80176073051228
"MICU3",0.215466393145159,6.12847466666667,2.16930651374947,0.0337745386997556,0.999989830735706,-3.77785299934417
"SLC20A1",0.212089622983869,7.35597012698413,2.22812752137992,0.029387770311453,0.999989830735706,-3.66507871795052
"TOB2P1",0.203277752016128,5.48016212698413,2.06413806401332,0.0430571442292635,0.999989830735706,-3.97304038116244
"CEP85",0.195390251008062,5.84914280952381,3.39479466929488,0.00118287990807028,0.999989830735706,-0.948005155147353
"ANO2",0.190256755040321,6.38563619047619,2.24797667291289,0.028025015666616,0.999989830735706,-3.62644711765167
"SNORD97",0.187528044354835,11.0199249206349,2.56272752695453,0.0127442433643056,0.999989830735706,-2.97616831338533
"MTMR10",0.185818449596772,7.57519458730159,2.20401712042204,0.0311213008006304,0.999989830735706,-3.71161391878246
"H2AW",0.183726053427415,5.88510746031746,3.15136759106413,0.00247074678332219,0.999989830735706,-1.58390882227368
"PRRG4",0.183687280745967,5.57928849206349,2.06949208105099,0.0425360383972199,0.999989830735706,-3.96330560362278
"SLC18B1",0.183001942540322,5.97824020634921,2.21244583200099,0.0305053257916142,0.999989830735706,-3.69539451348627
"ZSCAN12P1",0.18127375705645,4.82174283333333,2.23838452355612,0.0286764514407033,0.999989830735706,-3.64515203064285
"SLC4A1",0.180816455645159,6.1044476984127,2.13311467237589,0.0367497907363655,0.999989830735706,-3.84596268814157
"SLC25A39",0.172363105342739,7.40511564285714,1.99876406650158,0.0498785272950674,0.999989830735706,-4.09013610613847
"PHYHIPL",0.167890610887092,6.77067922222222,2.0035928466002,0.0493447045842291,0.999989830735706,-4.08159928109199
"H4C2",0.166173973790322,4.42970366666667,2.23196648932048,0.0291197403240056,0.999989830735706,-3.6576296532037
"H2AC4",0.165082345766127,5.28402728571429,2.32194019229944,0.0234254846460611,0.999989830735706,-3.47996484787912
"MIR4534",0.158921353830646,4.70089463492064,3.75447950216357,0.000376751864754643,0.999989830735706,0.0481480862191175
"H3C12",0.158105604838707,6.84149425396825,2.09307583239343,0.0403051138459221,0.999989830735706,-3.92016581836829
"UQCRHL",0.156522505040321,5.33726233333333,3.1549465774642,0.00244470611232318,0.999989830735706,-1.57479892404685
"PAGE2",0.155970929435482,4.08347958730159,2.62370875446753,0.0108585279859282,0.999989830735706,-2.84223718961076
"AICDA",0.154889091733869,4.62114388888889,3.20938631609338,0.00207898893737328,0.999989830735706,-1.43532980650596
"PRRG1",0.153450781754032,6.59018373809524,2.3600624882542,0.0213273442792721,0.999989830735706,-3.40292247604677
"KCNK5",0.150269162298385,6.014874,2.47026790252946,0.0161725637513108,0.999989830735706,-3.17440654177458
"COX7B",0.149576375000004,6.4233033015873,3.4135926532928,0.00111601244861344,0.999989830735706,-0.897563038810098
"C2orf88",0.148915943548384,4.77367865079365,3.53285614563204,0.000768249479771688,0.999989830735706,-0.573262193323652
"BTBD10",0.147278326612899,6.31989158730159,2.67757342703559,0.00940792608360047,0.999989830735706,-2.72186815208669
"NDUFB10",0.145888455645157,6.79687249206349,3.16662315636839,0.00236152369173701,0.999989830735706,-1.54502660039702
"H2AC21",0.14513636491935,6.05964838095238,2.046844129772,0.0447782576646313,0.999989830735706,-4.0043352277948
"NDUFA6",0.144168930443548,7.00560288888889,2.33342968962855,0.0227746105873062,0.999989830735706,-3.45685514408411
"RRAS2",0.14321104939516,7.17925453968254,2.83094193655819,0.00619284341720236,0.999989830735706,-2.36876977602642
"NDUFA1",0.141587450604835,6.96096201587302,2.77184873223168,0.00728794296814689,0.999989830735706,-2.50661294778856
"PSG10P",0.141416430947576,9.24490077777778,2.11747206782952,0.0381048960007555,0.999989830735706,-3.87509663976589
"PSG2",0.141090453629028,12.0157904761905,2.33387905894403,0.0227494840401169,0.999989830735706,-3.45594936545691
"KLHDC3",0.139950356854834,6.97200897619048,3.0133118234604,0.00369772654509161,0.999989830735706,-1.9296314727668
"IL36RN",0.139735508064514,5.34811450793651,2.43832555668335,0.0175373070829047,0.999989830735706,-3.24151904669248
"H4C6",0.139104403225806,3.8329753015873,1.99919642556389,0.0498305287254375,0.999989830735706,-4.08937246983196
"SVBP",0.138542052419353,6.69428888888889,2.46205066581214,0.0165142063453625,0.999989830735706,-3.19173932845619
"SELENBP1",0.138230261088712,6.07182384126984,2.71674348222424,0.00846664329771056,0.999989830735706,-2.63313492818799
"IMPA2",0.138154251008062,7.61986155555556,2.18667022167025,0.0324234898057058,0.999989830735706,-3.74482920819064
"H1-5",0.137462952620967,3.80465196825397,2.32282577408154,0.0233747354130981,0.999989830735706,-3.47818698681351
"UXT",0.137006921370968,6.39400433333333,2.03943362454022,0.0455337476469644,0.999989830735706,-4.01767523033941
"UBE2M",0.136593238911291,7.49358604761905,2.10061399298848,0.0396137839843046,0.999989830735706,-3.90628796218034
"TMEM181",0.136447427419355,5.64099395238095,2.25667276772625,0.0274457528552045,0.999989830735706,-3.6094313011714
"VAMP8",0.1356500766129,6.95350717460317,2.9537723005412,0.00438517666506433,0.999989830735706,-2.07524091074899
"FCGBP",0.134872538810482,5.88966744444444,2.48124347168706,0.0157261593666035,0.999989830735706,-3.15118238376181
"BABAM1",0.134693656249996,7.33317582539683,3.20952444917172,0.00207812999390635,0.999989830735706,-1.43497379101295
"H3C13",0.134662319556451,5.48485768253968,2.095653412276,0.0400675530554269,0.999989830735706,-3.91542529673483
"UQCR10",0.133773548387098,7.37360992063492,2.6762248838984,0.00944197183464215,0.999989830735706,-2.72490511914867
"H2AC6",0.133603814516125,7.21369819047619,2.21777736155578,0.030121251438228,0.999989830735706,-3.6851079488891
"NDUFA2",0.130549240927413,5.92141101587302,2.31536588755445,0.0238053025470604,0.999989830735706,-3.49314551503945
"RPL9",0.129719865927415,9.42430374603175,2.02039312387729,0.047525490474971,0.999989830735706,-4.05175796469559
"SLIRP",0.12812542439516,7.195176,2.22891785118584,0.0293324139788605,0.999989830735706,-3.6635460618956
"PITHD1",0.12786161391129,6.37486593650794,3.5787323284675,0.000664195281302946,0.999989830735706,-0.446592872471777
