"","logFC","AveExpr","t","P.Value","adj.P.Val","B","type"
"ALAS2",0.451972717741935,6.71767647619048,2.05607530806487,0.0438514028583932,0.999962582242539,-4.00209531698216,"Up"
"ERVV-2",0.409167640120964,7.7193596984127,1.84772395810014,0.0692564596863724,0.999962582242539,-4.36361186454606,"No Signif"
"ERVV-1",0.399372328629028,6.82413826984127,2.54815622077043,0.0132361163080108,0.999962582242539,-3.01892639471443,"Up"
"ANGPT2",0.373978117943544,6.60037336507937,1.36165631434325,0.178072415551149,0.999962582242539,-5.07022595675924,"No Signif"
"FABP4",0.329313752016126,4.13405741269841,2.80382518471355,0.00667466538090823,0.898987767124118,-2.44143368801114,"Up"
"GYPB",0.317497115423386,4.44370868253968,2.48753262862861,0.0154747973889594,0.999962582242539,-3.14940994840296,"Up"
"DEPDC1B",0.314741256048382,8.34385038095238,3.15530860286155,0.00244188006169696,0.869705854165352,-1.57996760854986,"Up"
"AGPAT5",0.288075894153223,6.60774065079365,1.67711579223036,0.0983895169229532,0.999962582242539,-4.63391762472504,"No Signif"
"USP27X",0.264372269153226,7.76640371428571,2.24982159477268,0.0279004572543775,0.999962582242539,-3.63605864704423,"Up"
"RPS6KA6",0.243369928427419,3.28432776190476,3.90959324388613,0.000225664389720434,0.869705854165352,0.498326223850665,"Up"
"SESN3",0.237134253528223,6.88932953174603,1.88285853204726,0.0642581444887989,0.999962582242539,-4.30503919541121,"No Signif"
"HTRA1",0.229991366935481,9.53722826984127,1.3963452994383,0.167426571184287,0.999962582242539,-5.02637695117051,"No Signif"
"MMD",0.226494180443547,7.09558788888889,2.12104691334572,0.0377905712456996,0.999962582242539,-3.88249427459792,"Up"
"UTY",0.224250810483872,3.70725373809524,0.883070423872361,0.380497581883738,0.999962582242539,-5.56732751612699,"No Signif"
"AHSP",0.224162138104839,3.53092271428571,1.88950510623108,0.0633477036070155,0.999962582242539,-4.29384849272115,"No Signif"
"GDPD1",0.223965195564515,6.36500184126984,2.13150576563872,0.0368863479837902,0.999962582242539,-3.86294216772537,"Up"
"METTL21C",0.223295732862903,4.0124286031746,2.19468182406225,0.031815444225392,0.999962582242539,-3.74309152620671,"Up"
"GNG11",0.220833586693547,6.68784866666667,2.78259270723066,0.00707607664421377,0.922590644571021,-2.49102377100528,"Up"
"DDX3Y",0.219628683467741,3.81811155555556,1.12244126474105,0.265860974187067,0.999962582242539,-5.34411182966836,"No Signif"
"MICU3",0.215466393145159,6.12847466666667,2.16970558893989,0.0337421132660475,0.999962582242539,-3.7908308021319,"Up"
"GYPA",0.213748153729838,3.16753707142857,1.97217504799281,0.052906583595139,0.999962582242539,-4.15175068958667,"No Signif"
"SLC20A1",0.212089622983869,7.35597012698413,2.22855203055853,0.0293572386944731,0.999962582242539,-3.67761160261217,"Up"
"SLC27A2",0.205294963709675,5.79506096825397,1.7516825366062,0.0846106388910421,0.999962582242539,-4.51867874927761,"No Signif"
"CDA",0.20162264516129,6.39817985714286,1.9939667374174,0.0504128294090715,0.999962582242539,-4.1134037133405,"No Signif"
"POGLUT3",0.20146034879032,8.2627899047619,1.66452268437944,0.100888480715391,0.999962582242539,-4.65293008014432,"No Signif"
