"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04141","Protein processing in endoplasmic reticulum","60/920","166/7914",7.41460376437422e-17,2.31335637448476e-14,1.78730974951758e-14,"PRKCSH/ATF6B/RRBP1/MAN1C1/MBTPS1/CAPN1/SEC31A/VCP/EDEM2/BCL2/RAD23A/UBE4B/GANAB/DNAJB12/UBQLN2/NSFL1C/EIF2AK1/SYVN1/DNAJC10/EIF2AK4/HSPH1/SSR3/DNAJA2/ERLEC1/SEC63/DNAJA1/SEC61A1/DNAJC3/SEC24A/EDEM3/SEC62/UGGT1/CANX/ERO1A/PREB/TRAM1/STT3A/RPN2/MBTPS2/PDIA3/NFE2L2/SEC24D/ATF4/SEL1L/XBP1/AMFR/UBE2J1/P4HB/RPN1/HSP90AA1/UBE2D3/UBQLN1/SEC24B/LMAN1/MAPK9/SAR1A/CUL1/EIF2S1/SSR1/SEC23A",60
"hsa04144","Endocytosis","59/920","243/7914",1.63310319344151e-08,2.54764098176875e-06,1.96831911209529e-06,"RAB11B/RAB7A/STAM/CAPZB/ARF6/SH3KBP1/PDCD6IP/ARPC2/AP2M1/EGFR/AP2A1/AP2B1/VPS28/RHOA/WASHC2A/GBF1/ASAP3/HLA-G/HLA-E/CBL/ARPC1B/IL2RB/SMAD3/MDM2/DAB2/TSG101/SPART/ITCH/CDC42/CAPZA1/CHMP2B/WASHC5/SNX2/NEDD4/ACAP2/WWP1/VPS35/CHMP3/MVB12B/VTA1/CLTC/RAB5C/SPG21/VPS4B/ARRB2/SMAD2/VPS36/SNX4/CAPZA2/EHD2/VPS37A/RAB22A/SNX6/CHMP4B/PIP5K1A/STAM2/KIF5B/RAB5A/WASL",59
"hsa04120","Ubiquitin mediated proteolysis","38/920","136/7914",1.36276073516152e-07,1.247901516918e-05,9.64134437834758e-06,"PRPF19/UBE2Z/DDB1/UBE2R2/MGRN1/UBE4B/UBE2Q1/SYVN1/WWP2/CBL/UBA3/MDM2/COP1/KLHL9/ITCH/UBA2/RHOBTB1/SAE1/UBE3A/UBE2L6/NEDD4/UBE4A/UBE2A/WWP1/CUL5/FBXW7/UBE2O/UBE2L3/UBE2J1/UBE3C/UBE2D3/UBE2Q2/CUL3/PIAS1/CUL1/DDB2/SIAH1/CUL2",38
"hsa04520","Adherens junction","25/920","71/7914",1.59987373963846e-07,1.247901516918e-05,9.64134437834758e-06,"CREBBP/CSNK2B/SMAD4/ACTN4/RAC1/SNAI1/WASF2/EGFR/CSNK2A3/RHOA/CTNNA1/ACTN1/TCF7L2/FGFR1/ACTB/PTPRF/MAPK3/SMAD3/MAP3K7/CDC42/YES1/CSNK2A2/ACP1/NLK/WASL",25
"hsa03013","RNA transport","41/920","165/7914",1.37286107893136e-06,8.56665313253166e-05,6.61863551737432e-05,"AAAS/EIF4G1/NXF1/NUP62/NUP214/UPF1/EIF3H/SRRM1/EIF4A3/EIF2B1/RNPS1/CASC3/EIF1/NUP98/POM121/PABPC1/SUMO4/SUMO2/NUP107/NXT2/NUP160/NUP54/PHAX/SENP2/PAIP1/STRAP/KPNB1/EIF3J/EIF4B/THOC7/SUMO1/SEH1L/NUP153/EIF2S2/EIF4G2/EIF3E/EIF5/NMD3/RPP30/EIF2S1/XPOT",41
"hsa03015","mRNA surveillance pathway","27/920","91/7914",2.52301476372939e-06,0.000120009735814579,9.27200725423032e-05,"NXF1/PPP1CA/UPF1/SRRM1/EIF4A3/PPP2R1A/RNPS1/CASC3/SYMPK/PABPC1/NXT2/PAPOLA/PPP1CC/ETF1/RNMT/CPSF2/PPP2R2A/PPP2CB/WDR82/HBS1L/PPP1CB/FIP1L1/CSTF1/PPP2CA/PPP2R5E/CPSF6/PPP2R3C",27
"hsa05220","Chronic myeloid leukemia","24/920","76/7914",2.69252612404505e-06,0.000120009735814579,9.27200725423032e-05,"ARAF/RELA/SMAD4/SHC1/TP53/CBL/GRB2/MAPK3/SMAD3/GADD45A/TGFB2/RB1/MDM2/CRK/NRAS/HDAC2/PTPN11/CHUK/HDAC1/NFKBIA/PIK3CB/CRKL/DDB2/SOS2",24
"hsa04137","Mitophagy - animal","21/920","65/7914",7.5438091911769e-06,0.000272020198095544,0.000210164053184479,"RAB7A/SP1/CSNK2B/RRAS/RELA/USP30/ATG9A/CSNK2A3/TP53/MFN2/CITED2/TBK1/NRAS/TAX1BP1/CSNK2A2/SQSTM1/ATF4/RHOT1/AMBRA1/RRAS2/MAPK9",21
"hsa03040","Spliceosome","34/920","135/7914",7.94175759838989e-06,0.000272020198095544,0.000210164053184479,"PCBP1/PRPF19/PRPF8/SF3A1/SNW1/SF3B4/CHERP/USP39/SF3B3/DDX23/WBP11/EIF4A3/SF3B2/EFTUD2/SNRPA/SMNDC1/SRSF10/SLU7/SNRNP27/HNRNPC/PRPF40A/DHX8/PLRG1/PRPF38B/SRSF3/PRPF38A/SYF2/LSM3/CWC15/SF3B6/BCAS2/SNRPA1/DHX15/SRSF2",34
"hsa05169","Epstein-Barr virus infection","45/920","201/7914",8.71859609280589e-06,0.000272020198095544,0.000210164053184479,"MYD88/PSMD3/SIN3A/NFKBIB/SNW1/RELA/PSMD4/BCL2/RAC1/TP53/TAP2/TAP1/B2M/HLA-G/HLA-E/JAK1/STAT1/OAS2/IFNAR2/CCNE1/GADD45A/RB1/TBK1/PSMC1/MDM2/MAP3K7/USP7/HLA-DOA/CDK2/PSMD7/NEDD4/MAP2K4/PSMC6/HDAC2/PDIA3/CHUK/PSMD2/HDAC1/NFKBIA/MAPK9/PIK3CB/CASP3/PSMD11/PSMC2/DDB2",45
