	No	Yes	MeanDecreaseAccuracy	MeanDecreaseGini
SPATS2L	0.00443452632571804	0.00273690040529419	0.00353730610207294	0.654064483419741
TAP1	0.00222611297740831	0.000536768930551314	0.001486277187004	0.292709660294618
MFGE8	0.00299430707461796	0.00302161137653366	0.00326845338000382	0.724292442492933
SLC2A3	-0.00219283366570779	0.00152589333860288	-0.000424765017197198	0.836659205621426
B2M	0.00493915986143965	0.000690093542882327	0.00251545555893382	0.53089607917869
MMP12	0.00170431180793875	0.00316748593950666	0.00192862849431688	0.372314887387258
HLA-E	0.00493996504359199	0.00409104424648466	0.00413008908507478	0.612164879978714
MX1	0.00327756288210418	0.00964620440009041	0.00624881676357234	0.629349974463766
TRIM14	0.000982624169152667	0.000268470734791978	0.000604152167745201	0.414676495214718
P4HA1	-0.00126373338808572	0.00149989830346429	-4.2307904439015e-05	0.429983605957991
CLU	0.000245177965385219	-0.0015950062163107	-0.00106550271001724	0.311781141401949
MTDH	-0.00124277919919493	0.00133569654295043	0.000308273819890066	0.44909988838973
SCIMP	0.00300020934735961	0.00121090768759163	0.00203825935522263	0.32134878025074
SERPING1	0.00472856159384657	-0.00194285632414252	0.00115227029734802	0.491319825637202
PLOD1	0.00169079625038174	0.00113578131712847	0.00159632489440383	0.375772248137433
AQP9	-0.00256171069947358	0.00504714772849488	0.0013687183883174	0.593937979778602
PRKD3	0.00171322632462529	0.00561232089729499	0.0039790476183808	0.650791304307537
STAT1	0.000630285086243635	0.00324485531739418	0.00159560667445326	0.665945749714405
TMEM45A	0.00291316340539138	-0.00123215367043468	0.00100225306364669	0.701645640971623
GCH1	-0.00151238370150287	0.00778665778665779	0.00256189122612333	0.65257204617357
OAS2	-0.000690846286701209	-0.00345227599113609	-0.00210444697937998	0.41872464365431
HCAR2	-0.00301634174691169	0.00416841362437217	0.000266240813661403	0.494199843421274
PRUNE2	0.000688286957717009	0.00225267468485999	0.00142536074821228	0.325095401969634
LGALS1	-0.00054364892447794	0.00138223387232836	0.000132954535973234	0.329513524758711
IL18BP	0.00359553582656295	0.00311032223558892	0.003147590314114	0.752127934106284
RGS1	0.00107109355814019	0.00243182982820289	0.00132706250638217	0.452372778205233
APOL6	-0.00371403208190773	0.0031271621297528	0.000189421103982231	0.479112969841968
EMP3	0.00788082307817145	0.0018570541010346	0.00440410281596656	0.676464968816268
CNN2	-9.80381161728311e-05	0.0078603319535962	0.00393802337933899	0.383115616058835
ANKRD1	-0.00126262626262626	0.000536768930551314	-6.22959679053394e-05	0.298001294391142
PARP9	-0.00129443814676975	0.00232702674412519	4.6283970591247e-05	0.367089027047961
HSPH1	0.0092422617681685	0.00557342772368679	0.00643716803781304	0.944468025460789
GPR32	-0.00171733850490327	-0.000961133756013366	-0.0013144126863433	0.618936109087241
SH3BP5	0.0014735315482039	0.0115457885268918	0.00699534174532427	0.920677156868867
C1orf162	-0.00238962965646904	-0.00147524467472654	-0.00181775984772155	0.41882945674112
ACSL5	0.00912655277940252	0.00451005021257993	0.00567914810867169	0.808801833505916
RRAGC	0.0012665299582398	0.00596697910778984	0.0037383211973269	0.654931429822269
UBR7	0.00523091617651203	0.00504069908214986	0.00500414206203798	0.327210892038263
GLRX	0.00520402165479886	0.00297314947574015	0.0039471616988483	0.654468068320998
BACH1	0.00217097237822626	0.000517128237335491	0.00127072484253452	0.37827128630164
MIS12	0.00822011897141431	0.00788385604371584	0.00776966623221707	1.01166401511321
HPS3	0.0041393192299928	0.00296762822669558	0.00408934373459338	0.452991255718706
SLC18B1	0.00591372079104478	0.00474134386051484	0.00490662492794846	0.808350758850241
SF3B6	-0.00139573082273478	0.0023354595893456	0.000327627411866088	0.50784000859346
MMD	0.0035580136616406	-0.00417429432973474	-0.000296582423306081	0.49133194274944
ITGAM	0.0036096315889062	0.0104186328927262	0.00697659177947531	0.609791841596693
TRAPPC3	0.00136332435555233	0.00373924434805264	0.00287711954084181	0.700227078988229
UBE2Q2	0.00143533783430156	0.00253418860931814	0.00168497900765187	0.441661767338208
RRAS2	-0.00104462319488226	0.00412420049725749	0.00173004679650321	0.406174019318433
PRRG1	0.0104362771232628	0.0125435589166159	0.0110852412981864	1.08511423830846
CHMP4B	-0.00647711528540544	-0.000213662949871423	-0.00306071830180242	0.407749407587818
NIFK	6.03886614249489e-07	0.000528789000291591	0.00021438580690043	0.433689535625744
PILRA	0.0056736872799049	2.78967705057313e-05	0.00230279661683131	0.442783081542381
SAMD8	0.00178513196647912	0.00499409197595726	0.00340255719744936	0.622019588181811
OSTM1	0.00165107632724213	0.00265443393681736	0.00214603473670831	0.442843324878269
SIAH1	0.0052714197144249	0.00383097971485658	0.00435756932620854	0.674246021587363
