Variables	Accuracy	Kappa	AccuracySD	KappaSD
1	0.5098901098901099	0.019047619047619035	0.11927000924145173	0.23714094472359487
2	0.541941391941392	0.08221457257601841	0.16196550706039534	0.3210130573802798
3	0.5278388278388279	0.05658263305322134	0.10456536226740092	0.210085434169001
4	0.5598901098901099	0.11904761904761905	0.17018017978135547	0.33965101470683584
5	0.5098901098901099	0.019047619047619056	0.13303216651125474	0.2648107183504625
6	0.5217948717948718	0.04285714285714287	0.11772903175435201	0.23413370988456228
7	0.49322344322344325	-0.014285714285714268	0.13963715167409785	0.2779704547180241
8	0.5087912087912088	0.01848739495798322	0.08932820441022242	0.18001258411463028
9	0.5895604395604396	0.17745266781411365	0.12074272191208447	0.23839147184105453
10	0.6205128205128205	0.23935742971887553	0.10190090066761177	0.2007700775874003
11	0.6228937728937729	0.2441193344807803	0.14005511390652253	0.27794792535807616
12	0.5421245421245421	0.0814687320711417	0.14052376087535426	0.2792989746707953
13	0.5575091575091575	0.11428571428571427	0.1296287391135139	0.2583086448593432
14	0.5408424908424908	0.08095238095238094	0.1008565670771942	0.20033984731392981
15	0.5871794871794872	0.17269076305220882	0.12476144231490117	0.24648952221778558
16	0.5908424908424909	0.1809523809523809	0.1187203164797963	0.23666235504360333
17	0.5908424908424909	0.18095238095238095	0.13253956302661185	0.26438222176173926
18	0.6038461538461538	0.20602409638554217	0.14235965787170576	0.28231103587261364
19	0.6205128205128205	0.23935742971887553	0.1316367653860992	0.2609337115671881
20	0.5551282051282052	0.10952380952380955	0.1032230435159176	0.20523201847152328
21	0.6181318681318682	0.23459552495697072	0.13258163200015005	0.26280248618277524
22	0.6038461538461538	0.20602409638554217	0.11542022242616183	0.22786343102325649
23	0.6335164835164835	0.26666666666666666	0.13277188274688684	0.2648107183504625
24	0.6192307692307693	0.23809523809523808	0.1444513982041348	0.2881837723073858
25	0.6192307692307693	0.23809523809523808	0.1444513982041348	0.2881837723073858
26	0.6324175824175824	0.26316695352839936	0.13011657244497307	0.2580582062604285
27	0.6490842490842491	0.2941798941798942	0.1131450928954391	0.22111243417499887
28	0.6655677655677655	0.33057946069994265	0.14891219337894815	0.2966225636603577
29	0.6489010989010989	0.29724612736660927	0.1642868372763102	0.3274139586681843
30	0.6324175824175824	0.2608465608465609	0.09992936495536973	0.19311806911146337
31	0.6490842490842491	0.2941798941798942	0.1131450928954391	0.22111243417499887
32	0.6514652014652015	0.29894179894179895	0.1648575483377856	0.3262560171370346
33	0.6633699633699633	0.3227513227513228	0.1166182814082542	0.22883980178474722
34	0.6514652014652015	0.29894179894179895	0.1422447426075947	0.28047319112589575
35	0.7014652014652015	0.398941798941799	0.1174751744682709	0.23222782177184004
36	0.6835164835164835	0.3651567944250871	0.11592589188180796	0.22857640063806467
37	0.7001831501831501	0.39849012775842046	0.1326568800237215	0.26275399194325866
38	0.7181318681318681	0.4368067226890756	0.10132691810707757	0.202999461949623
39	0.7476190476190476	0.4952380952380952	0.16970028267814727	0.33940056535629454
40	0.7313186813186813	0.4647840531561462	0.06470672901922471	0.12787557202685504
41	0.7313186813186813	0.4647840531561462	0.06470672901922471	0.12787557202685504
42	0.73003663003663	0.46061624649859945	0.04061125592819457	0.08188394245044742
43	0.7467032967032967	0.4939495798319328	0.019943616937232463	0.0406648024259911
44	0.760989010989011	0.5225210084033614	0.06109506887956387	0.12228769255782099
45	0.7763736263736264	0.5508710801393728	0.07233968548222657	0.14246094839051576
46	0.760989010989011	0.5203098106712565	0.06109506887956387	0.12196556661198303
47	0.7776556776556777	0.5536431440045898	0.034516643089817695	0.0696403753798328
48	0.7763736263736264	0.5523809523809524	0.04196198128598357	0.08316309141225228
49	0.7941391941391942	0.5877223178427998	0.0843122672776831	0.1675627865314658
50	0.7941391941391942	0.5877223178427998	0.0843122672776831	0.1675627865314658
51	0.7941391941391942	0.5877223178427998	0.0843122672776831	0.1675627865314658
52	0.7941391941391942	0.5877223178427998	0.0843122672776831	0.1675627865314658
53	0.8108058608058608	0.62105565117613315	0.08159849393989617	0.1622425647978313
54	0.8108058608058608	0.62105565117613315	0.10065056599682631	0.20052814944806968
55	0.7941391941391942	0.5877223178427998	0.0843122672776831	0.1675627865314658
56	0.7631868131868133	0.5258175559380379	0.11667759191172827	0.2324040384194333
