GENE	NET	TF
PRRG1	pp	FOXI1
PRRG1	pp	FOXC1
PRRG1	pp	GATA2
PRRG1	pp	FOXL1
PRRG1	pp	YY1
PRRG1	pp	POU2F2
PRRG1	pp	HOXA5
PRRG1	pp	NFIC
PRRG1	pp	NFYA
PRRG1	pp	SRF
PRRG1	pp	STAT3
PRRG1	pp	HINFP
PRRG1	pp	IRF2
PRRG1	pp	ELK4
PRRG1	pp	RUNX2
PRRG1	pp	NR3C1
PRRG1	pp	PAX2
ITGAM	pp	ARID3A
ITGAM	pp	MEF2A
ITGAM	pp	TP53
ITGAM	pp	IRF2
ITGAM	pp	FOXF2
ITGAM	pp	TP63
ITGAM	pp	FOXA1
ITGAM	pp	SREBF2
SH3BP5	pp	BRCA1
SH3BP5	pp	CEBPB
SH3BP5	pp	FOS
SH3BP5	pp	JUN
SH3BP5	pp	CREB1
SH3BP5	pp	FOXC1
SH3BP5	pp	FOXL1
SH3BP5	pp	YY1
SH3BP5	pp	MEF2A
SH3BP5	pp	HOXA5
SH3BP5	pp	NFIC
SH3BP5	pp	RELA
SH3BP5	pp	TP53
SH3BP5	pp	IRF2
SH3BP5	pp	TP63
MIS12	pp	FOXC1
MIS12	pp	NFIC
MIS12	pp	NFYA
MIS12	pp	SRF
MIS12	pp	E2F1
MIS12	pp	HINFP
MIS12	pp	TFAP2C
