Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	4-(2-Aminoethyl)benzenesulfonyl fluoride CTD 00000065	1/13	0.0026	0.067444537908051	0	0	555.111111111111	3304.66577022197	ITGAM
2	Ropivacaina [Spanish] CTD 00001768	1/14	0.0028	0.067444537908051	0	0	512.384615384615	3012.37450495212	ITGAM
3	Carnosic acid CTD 00000939	1/15	0.003	0.067444537908051	0	0	475.761904761905	2764.27624635263	ITGAM
4	KN-62 CTD 00002580	1/16	0.0032	0.067444537908051	0	0	444.022222222222	2551.23866220785	ITGAM
5	EDTA CTD 00005888	1/17	0.0034	0.067444537908051	0	0	416.25	2366.46263334062	ITGAM
6	Tosyllysyl chloromethane CTD 00006909	1/17	0.0034	0.067444537908051	0	0	416.25	2366.46263334062	ITGAM
7	Calpain inhibitor I CTD 00002578	1/17	0.0034	0.067444537908051	0	0	416.25	2366.46263334062	ITGAM
8	alprostadil HL60 DOWN	2/500	0.0036	0.067444537908051	0	0	39.1526104417671	220.09303780623	ITGAM;PRRG1
9	sulfaguanidine PC3 DOWN	2/583	0.0049	0.067444537908051	0	0	33.4165232358003	177.762248829775	PRRG1;SH3BP5
10	hmba CTD 00000732	1/26	0.0052	0.067444537908051	0	0	266.28	1400.89516742443	ITGAM
11	3-methyladenine CTD 00001217	1/27	0.0054	0.067444537908051	0	0	256.025641025641	1337.3038039708	ITGAM
12	CI-1040 CTD 00003697	1/27	0.0054	0.067444537908051	0	0	256.025641025641	1337.3038039708	ITGAM
13	NSC321521 CTD 00005452	1/28	0.0056	0.067444537908051	0	0	246.530864197531	1278.76225296813	ITGAM
14	15442-64-5 CTD 00000915	1/28	0.0056	0.067444537908051	0	0	246.530864197531	1278.76225296813	ITGAM
15	lidocaine CTD 00006207	1/29	0.0058	0.067444537908051	0	0	237.714285714286	1224.70650792205	ITGAM
16	zimeldine PC3 DOWN	1/33	0.0066	0.067444537908051	0	0	207.958333333333	1044.59515137515	PRRG1
17	N-formylmethionylleucylphenylalanine CTD 00006360	1/35	0.007	0.067444537908051	0	0	195.705882352941	971.563766351202	ITGAM
18	pyrithione CTD 00000427	1/36	0.0072	0.067444537908051	0	0	190.104761904762	938.416342038841	ITGAM
19	anisomycin MCF7 UP	2/718	0.0074	0.067444537908051	0	0	26.927374301676	132.263914868233	ITGAM;MIS12
20	vorinostat HL60 UP	2/727	0.0075	0.067444537908051	0	0	26.5806896551724	129.914646038595	PRRG1;SH3BP5
21	hydralazine CTD 00006108	2/776	0.0086	0.067444537908051	0	0	24.8346253229974	118.221695746871	ITGAM;MIS12
22	STYRENE CTD 00001125	1/44	0.0088	0.067444537908051	0	0	154.674418604651	732.575206798786	ITGAM
23	Acetovanillone CTD 00002374	1/44	0.0088	0.067444537908051	0	0	154.674418604651	732.575206798786	ITGAM
24	lactacystin CTD 00002698	1/49	0.0098	0.067444537908051	0	0	138.527777777778	641.242906948784	ITGAM
25	parthenolide CTD 00000087	1/51	0.0102	0.067444537908051	0	0	132.973333333333	610.231761256463	ITGAM
26	emetine HL60 UP	2/849	0.0102	0.067444537908051	0	0	22.6080283353011	103.667239119923	ITGAM;SH3BP5
27	ciclosporin PC3 UP	1/52	0.0104	0.067444537908051	0	0	130.359477124183	595.714877907605	MIS12
28	sulfamonomethoxine HL60 DOWN	1/55	0.011	0.067444537908051	0	0	123.098765432099	555.658119729102	PRRG1
29	Paricalcitol CTD 00003033	1/57	0.0114	0.067444537908051	0	0	118.690476190476	531.537849050783	ITGAM
30	sulfasalazine CTD 00006719	1/59	0.0117	0.067444537908051	0	0	114.586206896552	509.223023481694	ITGAM
31	Caffeic acid phenethyl ester CTD 00002352	1/59	0.0117	0.067444537908051	0	0	114.586206896552	509.223023481694	ITGAM
32	Nickelous acetate CTD 00003684	1/61	0.0121	0.067444537908051	0	0	110.755555555556	488.523958756801	SH3BP5
33	Dibenziodolium CTD 00000351	1/63	0.0125	0.067444537908051	0	0	107.172043010753	469.276301844037	ITGAM
34	enoxaparin CTD 00006081	1/64	0.0127	0.067444537908051	0	0	105.465608465608	460.151301759579	ITGAM
35	quercetin HL60 UP	1/70	0.0139	0.0694809833973251	0	0	96.2657004830918	411.428415366268	SH3BP5
36	irinotecan PC3 DOWN	2/999	0.014	0.0694809833973251	0	0	19.0561685055165	81.3721971192774	PRRG1;SH3BP5
37	doxorubicin PC3 DOWN	2/1023	0.0146	0.0694809833973251	0	0	18.5847208619001	78.5068507875611	PRRG1;MIS12
38	TOSYLPHENYLALANYL CHLOROMETHYL KETONE CTD 00006910	1/75	0.0149	0.0694809833973251	0	0	89.7387387387387	377.375256874202	ITGAM
39	isoproterenol CTD 00006175	1/79	0.0157	0.0694809833973251	0	0	85.1196581196581	353.553536665299	ITGAM
40	bromocriptine HL60 UP	1/81	0.0161	0.0694809833973251	0	0	82.9833333333333	342.617842286989	SH3BP5
41	dihydroergocristine HL60 UP	1/82	0.0163	0.0694809833973251	0	0	81.9547325102881	337.371556885033	SH3BP5
42	staurosporine MCF7 UP	1/84	0.0167	0.0694809833973251	0	0	79.9718875502008	327.293928057381	SH3BP5
43	(+)-chelidonine HL60 UP	1/90	0.0179	0.0694809833973251	0	0	74.5580524344569	300.026784668371	SH3BP5
44	9,10-Phenanthrenequinone TTD 00001360	1/91	0.0181	0.0694809833973251	0	0	73.7259259259259	295.869121371115	ITGAM
45	SB 202190 CTD 00003161	1/91	0.0181	0.0694809833973251	0	0	73.7259259259259	295.869121371115	ITGAM
46	alsterpaullone PC3 DOWN	2/1153	0.0184	0.0694809833973251	0	0	16.372719374457	65.3902064211213	PRRG1;MIS12
47	zardaverine HL60 UP	1/93	0.0185	0.0694809833973251	0	0	72.1159420289855	287.851124668187	SH3BP5
48	Gefitinib CTD 00003879	1/95	0.0189	0.0694809833973251	0	0	70.5744680851064	280.207272795148	ITGAM
49	Calcimycin CTD 00005287	1/99	0.0197	0.0694809833973251	0	0	67.6802721088435	265.945199725438	ITGAM
50	Toxoflavin TTD 00011503	1/99	0.0197	0.0694809833973251	0	0	67.6802721088435	265.945199725438	ITGAM
51	ACMC-20mvek CTD 00002629	1/100	0.0199	0.0694809833973251	0	0	66.993265993266	262.57737594325	ITGAM
52	cholecalciferol CTD 00005655	1/104	0.0206	0.0694809833973251	0	0	64.378640776699	249.823805156391	ITGAM
53	Tanshinone I CTD 00001048	1/106	0.021	0.0694809833973251	0	0	63.1460317460317	243.847276836808	ITGAM
54	colforsin MCF7 UP	1/106	0.021	0.0694809833973251	0	0	63.1460317460317	243.847276836808	SH3BP5
55	9,10-Phenanthrenequinone CTD 00000222	1/107	0.0212	0.0694809833973251	0	0	62.5471698113208	240.952079089247	ITGAM
56	LITHOCHOLIC ACID CTD 00006221	1/115	0.0228	0.0709227867260242	0	0	58.1345029239766	219.796260064703	ITGAM
57	daunorubicin MCF7 DOWN	2/1290	0.0229	0.0709227867260242	0	0	14.5248447204969	54.884701684327	PRRG1;MIS12
58	GW-8510 MCF7 DOWN	2/1290	0.0229	0.0709227867260242	0	0	14.5248447204969	54.884701684327	PRRG1;MIS12
59	GW-8510 PC3 DOWN	2/1312	0.0236	0.0720101609659311	0	0	14.2641221374046	53.4386429123581	PRRG1;MIS12
60	H-7 MCF7 DOWN	2/1332	0.0243	0.0728850068297913	0	0	14.0345864661654	52.1733592997909	PRRG1;MIS12
61	methazolamide HL60 DOWN	1/131	0.0259	0.0751059285069443	0	0	50.9384615384615	186.014963975834	PRRG1
62	harmine PC3 DOWN	1/133	0.0263	0.0751059285069443	0	0	50.1616161616162	182.425603692546	SH3BP5
63	isotretinoin HL60 UP	1/136	0.0269	0.0751059285069443	0	0	49.0395061728395	177.261942516856	ITGAM
64	glutathione CTD 00006035	1/136	0.0269	0.0751059285069443	0	0	49.0395061728395	177.261942516856	ITGAM
65	pyrvinium HL60 UP	1/137	0.0271	0.0751059285069443	0	0	48.6764705882353	175.596734572485	SH3BP5
66	alsterpaullone MCF7 DOWN	2/1469	0.0293	0.0787977451468991	0	0	12.6305385139741	44.6001112007295	PRRG1;MIS12
67	VALPROIC ACID CTD 00006977	4/8312	0.0298	0.0787977451468991	0	0	46752	164219.013158872	ITGAM;PRRG1;MIS12;SH3BP5
68	camptothecin PC3 DOWN	2/1494	0.0302	0.0787977451468991	0	0	12.402144772118	43.3964997185445	PRRG1;SH3BP5
69	phenoxybenzamine PC3 UP	1/154	0.0304	0.0787977451468991	0	0	43.2309368191721	150.950756421057	MIS12
70	pyrithyldione HL60 DOWN	1/155	0.0306	0.0787977451468991	0	0	42.9480519480519	149.688241534901	SH3BP5
71	luteolin HL60 UP	1/159	0.0314	0.0796688365767508	0	0	41.8523206751055	144.815464437875	MIS12
72	liothyronine CTD 00006943	1/162	0.032	0.080026604408257	0	0	41.0662525879917	141.337182593515	ITGAM
73	niclosamide PC3 UP	1/168	0.0332	0.0816597760623229	0	0	39.5788423153693	134.796424551188	MIS12
74	staurosporine CTD 00007273	1/170	0.0336	0.0816597760623229	0	0	39.1065088757396	132.730834460871	ITGAM
75	MG-132 CTD 00002789	1/173	0.0342	0.0819743504519602	0	0	38.4186046511628	129.732621020821	ITGAM
76	IRON CTD 00006166	1/180	0.0355	0.0821076272916643	0	0	36.903165735568	123.170886049914	ITGAM
77	doxycycline HL60 DOWN	1/180	0.0355	0.0821076272916643	0	0	36.903165735568	123.170886049914	PRRG1
78	1,9-Pyrazoloanthrone CTD 00003948	1/181	0.0357	0.0821076272916643	0	0	36.6962962962963	122.279874275859	ITGAM
79	ZINC CTD 00007011	2/1642	0.0361	0.0821076272916643	0	0	11.1926829268293	37.1649846526524	ITGAM;MIS12
80	15-delta prostaglandin J2 HL60 UP	1/185	0.0365	0.0821076272916643	0	0	35.8913043478261	118.8237111428	SH3BP5
81	Prestwick-983 HL60 UP	1/189	0.0373	0.082822450293531	0	0	35.1205673758865	115.531347487824	SH3BP5
82	picrotoxinin PC3 DOWN	1/196	0.0386	0.0841973583497555	0	0	33.8478632478632	110.131535006982	PRRG1
83	fulvestrant MCF7 DOWN	1/197	0.0388	0.0841973583497555	0	0	33.6734693877551	109.395268540462	SH3BP5
